ticker,asset_name,asset_type,stock_price,transaction,transaction_date,asset_value_low,asset_value_high,last_name,first_name,owner,additional_details
RTX,RTX Corporation Common Stock,Stock,100.99,Sale (Full),04/09/2024,15001,50000,Whitehouse,Sheldon,Spouse,--
DHR,Danaher Corp,Stock,249.8,Sale (Full),04/09/2024,15001,50000,Whitehouse,Sheldon,Spouse,--
UL,Unilever Plc ADR,Stock,47.99,Sale (Full),04/09/2024,1001,15000,Whitehouse,Sheldon,Spouse,--
IR,Ingersoll Rand Inc,Stock,93.48,Sale (Full),04/09/2024,1001,15000,Whitehouse,Sheldon,Spouse,--
NVS,Novartis Ag ADR,Stock,95.81,Sale (Partial),04/09/2024,1001,15000,Whitehouse,Sheldon,Self,--
WBA,"Walgreens Boots Alliance, Inc. - Common Stock",Stock,17.49,Sale (Full),04/30/2024,50001,100000,Tuberville,Thomas H,Joint,--
PYPL,"PayPal Holdings, Inc. - Common StockOption Type: PutStrike price:$75.00Expires:06/21/2024",Stock Option,67.92,Purchase,04/30/2024,1001,15000,Tuberville,Thomas H,Joint,--
SBLK,Star Bulk Carriers Corp. - Common Shares,Stock,24.32,Sale (Full),04/30/2024,50001,100000,Tuberville,Thomas H,Joint,--
SSBK,"Southern States Bancshares, Inc. - Common Stock",Stock,24.08,Sale (Full),04/30/2024,50001,100000,Tuberville,Thomas H,Joint,--
OXY,Occidental Petroleum Corporation Common Stock,Stock,66.14,Sale (Full),04/30/2024,15001,50000,Tuberville,Thomas H,Joint,--
NVDA,NVIDIA Corporation - Common Stock,Stock,864.02,Sale (Full),04/30/2024,15001,50000,Tuberville,Thomas H,Joint,--
KEY,KeyCorp Common Stock,Stock,14.49,Sale (Full),04/30/2024,50001,100000,Tuberville,Thomas H,Joint,--
GOGL,Golden Ocean Group Limited - Common Stock,Stock,14.09,Sale (Full),04/30/2024,50001,100000,Tuberville,Thomas H,Joint,--
XOM,Exxon Mobil Corporation Common Stock,Stock,117.32,Sale (Full),04/30/2024,50001,100000,Tuberville,Thomas H,Joint,--
CVX,Chevron Corporation Common Stock,Stock,159.66,Sale (Full),04/30/2024,100001,250000,Tuberville,Thomas H,Joint,--
HUMA,"Humacyte, Inc. - Common Stock",Stock,3.92,Sale (Partial),04/30/2024,50001,100000,Tuberville,Thomas H,Joint,--
LSCC,Lattice Semiconductor Corporation - Common StockOption Type: PutStrike price:$70.00Expires:09/20/2024,Stock Option,76.86,Purchase,04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
LSCC,Lattice Semiconductor Corporation - Common StockOption Type: PutStrike price:$70.00Expires:09/20/2024,Stock Option,76.86,Purchase,04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
CVX,Chevron Corporation Common StockOption Type: CallStrike price:$160.00Expires:06/21/2024,Stock Option,164.67,Purchase,04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
CCL,Carnival Corporation Common StockOption Type: PutStrike price:$17.50Expires:06/21/2024,Stock Option,15.13,Purchase,04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
QCOM,QUALCOMM Incorporated - Common StockOption Type: PutStrike price:$155.00Expires:12/20/2024,Stock Option,169.2,Purchase,04/29/2024,15001,50000,Tuberville,Thomas H,Joint,--
QCOM,QUALCOMM Incorporated - Common StockOption Type: PutStrike price:$150.00Expires:12/20/2024,Stock Option,169.2,Purchase,04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
LSCC,Lattice Semiconductor Corporation - Common StockOption Type: PutStrike price:$75.00Expires:01/17/2025,Stock Option,76.86,Purchase,04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
LSCC,Lattice Semiconductor Corporation - Common StockOption Type: PutStrike price:$75.00Expires:01/17/2025,Stock Option,76.86,Purchase,04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
CLX,Clorox CompanyOption Type: PutStrike price:$135.00Expires:06/21/2024,Stock Option,148.92,Purchase,04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
SWKS,"Skyworks Solutions, Inc. - Common StockOption Type: PutStrike price:$100.00Expires:11/15/2024",Stock Option,107.08,Purchase,04/29/2024,15001,50000,Tuberville,Thomas H,Joint,--
MMM,3M Company Common Stock,Stock,92.16,Sale (Full),04/29/2024,15001,50000,Tuberville,Thomas H,Joint,--
PAC,Grupo Aeroportuario Del Pacifico ADR,Stock,184.88,Sale (Full),04/29/2024,1001,15000,Tuberville,Thomas H,Joint,--
KMB,Kimberly-Clark Corporation Common StockOption Type: PutStrike price:$115.00Expires:06/21/2024,Stock Option,125.61,Purchase,04/18/2024,1001,15000,Tuberville,Thomas H,Joint,--
NTES,Netease Inc ADR,Stock,92.5,Sale (Full),04/18/2024,1001,15000,Tuberville,Thomas H,Joint,--
